08 August 2017 18:51:01
Time (ms),HR (bpm),R-R (ms)
709837,137,466
710308,137,471
710782,137,474
711256,135,474
711735,135,479
712213,134,478
712691,134,478
713183,132,492
713672,132,489
714156,131,484
714644,131,488
715141,129,497
715632,129,491
716127,128,495
716631,128,504
717124,126,493
717613,126,489
718092,125,479
718573,125,481
719056,125,483
719542,125,486
720026,124,484
720517,124,491
721012,124,495
721521,125,509
722022,125,501
722546,125,524
723089,124,543
723621,124,532
724143,123,522
724672,123,529
725220,121,548
725778,121,558
726335,119,557
726867,119,532
727397,117,530
727910,117,513
728451,115,541
728964,115,513
729491,114,527
730022,114,531
730547,114,525
731071,114,524
731589,114,518
732097,114,508
732603,115,506
733104,115,501
733602,116,498
734097,116,495
734608,117,511
735125,117,517
735645,118,520
736167,118,522
736704,119,537
737217,119,513
737721,119,504
738223,119,502
738716,119,493
739227,119,511
739679,119,452
740156,119,477
740626,120,470
741082,120,456
741542,123,460
741989,123,447
742436,123,447
742875,125,439
743338,125,463
743774,128,436
744179,128,405
744612,133,433
745035,133,423
745480,133,445
745871,136,391
746314,136,443
746732,140,418
747118,140,386
747534,140,416
747946,142,412
748353,142,407
748760,145,407
749167,145,407
749570,145,403
750003,147,433
750405,147,402
750781,148,376
751203,148,422
751606,148,403
751983,149,377
752394,149,411
752794,151,400
753193,151,399
753587,151,394
753955,152,368
754365,152,410
754762,152,397
755154,153,392
755518,153,364
755908,155,390
756316,155,408
756683,155,367
757087,156,404
757477,156,390
757861,156,384
758221,157,360
758606,157,385
759010,158,404
759366,158,356
759770,158,404
760155,159,385
760506,159,351
760911,159,405
761271,159,360
761649,159,378
762043,160,394
762402,160,359
762801,160,399
763158,161,357
763527,161,369
763924,161,397
764299,162,375
764648,162,349
765043,162,395
765417,162,374
765767,162,350
766155,163,388
766506,163,351
766900,163,394
767246,164,346
767614,164,368
768004,164,390
768351,165,347
768717,165,366
769104,165,387
769468,165,364
769817,165,349
770181,166,364
770546,166,365
770926,166,380
771270,167,344
771656,167,386
771995,167,339
772357,168,362
772714,168,357
773074,168,360
773441,169,367
773796,169,355
774156,169,360
774511,169,355
774896,169,385
775248,169,352
775607,170,359
775967,170,360
776307,170,340
776657,170,350
777035,170,378
777373,170,338
777744,170,371
778096,170,352
778432,171,336
778788,171,356
779147,171,359
779514,172,367
779872,172,358
780199,172,327
780558,173,359
780904,173,346
781259,173,355
781631,173,372
781985,173,354
782316,173,331
782686,174,370
783015,174,329
783387,174,372
783713,174,326
784064,174,351
784413,174,349
784776,174,363
785130,174,354
785480,174,350
785829,175,349
786156,175,327
786524,175,368
786872,175,348
787220,175,348
787564,175,344
787913,175,349
788239,175,326
788606,175,367
788931,176,325
789275,176,344
789619,176,344
789980,177,361
790328,177,348
790674,177,346
791003,177,329
791360,177,357
791688,178,328
792052,178,364
792379,178,327
792720,178,341
793065,178,345
793429,178,364
793768,178,339
794113,178,345
794440,178,327
794800,178,360
795139,178,339
795485,178,346
795804,178,319
796148,178,344
796510,178,362
796833,178,323
797195,178,362
797513,178,318
797859,179,346
798198,179,339
798533,179,335
798893,180,360
799213,180,320
799581,180,368
799912,180,331
800257,180,345
800599,180,342
800941,179,342
801273,179,332
801600,179,327
801958,179,358
802298,179,340
802616,179,318
802960,180,344
803320,180,360
803638,180,318
803996,180,358
804339,180,343
804657,180,318
804997,180,340
805357,180,360
805697,180,340
806015,180,318
806371,180,356
806692,180,321
807048,180,356
807384,180,336
807726,180,342
808044,180,318
808404,180,360
808741,180,337
809063,180,322
809422,181,359
809739,181,317
810072,181,333
810437,181,365
810748,181,311
811105,181,357
811445,181,340
811786,181,341
812120,181,334
812453,181,333
812798,181,345
813134,181,336
813447,181,313
813786,181,339
814121,181,335
814478,181,357
814812,181,334
815153,181,341
815469,182,316
815826,182,357
816159,182,333
816499,182,340
816834,182,335
817166,182,332
817506,182,340
817821,182,315
818179,182,358
818511,182,332
818832,182,321
819186,182,354
819521,182,335
819855,182,334
820194,182,339
820527,182,333
820860,182,333
821176,182,316
821518,182,342
821869,182,351
822203,182,334
822539,182,336
822856,182,317
823208,182,352
823547,183,339
823886,183,339
824223,183,337
824554,182,331
824892,182,338
825228,182,336
825561,182,333
825899,182,338
826219,182,320
826572,182,353
826904,182,332
827243,182,339
827560,182,317
827909,182,349
828248,182,339
828586,182,338
828921,182,335
829250,182,329
829589,183,339
829908,183,319
830243,183,335
830594,183,351
830935,183,341
831272,183,337
831604,183,332
831942,183,338
832267,183,325
832623,183,356
832956,182,333
833297,182,341
833638,182,341
833978,181,340
834312,181,334
834656,181,344
834978,181,322
835337,181,359
835675,181,338
836021,181,346
836345,181,324
836701,181,356
837044,180,343
837390,180,346
837734,180,344
838073,179,339
838419,179,346
838767,179,348
839113,179,346
839451,179,338
839799,179,348
840149,178,350
840495,178,346
840836,178,341
841187,178,351
841518,178,331
841883,177,365
842231,177,348
842580,177,349
842931,177,351
843266,177,335
843633,177,367
843982,176,349
844335,176,353
844672,176,337
845044,176,372
845392,176,348
845750,176,358
846087,175,337
846462,175,375
846813,175,351
847173,174,360
847512,174,339
847889,174,377
848243,173,354
848587,173,344
848948,173,361
849325,172,377
849684,172,359
850031,172,347
850414,172,383
850772,172,358
851139,170,367
851486,170,347
851870,170,384
852233,169,363
852583,169,350
852952,169,369
853322,168,370
853705,168,383
854057,168,352
854450,168,393
854818,168,368
855177,167,359
855551,167,374
855928,167,377
856318,166,390
856679,166,361
857058,166,379
857449,164,391
857814,164,365
858189,164,375
858569,164,380
858947,164,378
859329,163,382
