04 August 2017 12:53:19
Time (ms),HR (bpm),R-R (ms)
1171869,67,807
1172628,67,759
1173364,68,736
1174112,69,748
1174826,69,714
1175510,69,684
1176186,72,676
1176878,72,692
1177594,74,716
1178383,75,789
1179205,79,822
1180002,79,797
1180836,79,834
1181715,79,879
1182563,79,848
1183368,80,805
1184172,80,804
1184942,80,770
1185710,80,768
1186451,79,741
1187208,79,757
1187929,78,721
1188660,77,731
1189411,76,751
1190279,76,868
1191268,77,989
1192183,77,915
1193004,77,821
1193814,77,810
1194618,77,804
1195412,77,794
1196154,77,742
1196913,76,759
1197678,76,765
1198497,76,819
1199322,76,825
1200134,75,812
1200972,75,838
1201867,75,895
1202743,75,876
1203632,75,889
1204536,75,904
1205405,75,869
1206301,74,896
1207180,74,879
1207997,72,817
1208811,72,814
1209621,72,810
1210436,71,815
1211262,71,826
1212099,70,837
1212914,71,815
1213673,71,759
1214479,71,806
1215279,72,800
1216074,73,795
1216900,73,826
1217735,74,835
1218536,74,801
1219334,74,798
1220140,75,806
1220908,75,768
1221643,75,735
1222406,75,763
1223180,76,774
1223945,76,765
1224797,76,852
1225657,76,860
1226518,77,861
1227404,77,886
1228264,77,860
1229059,76,795
1229855,76,796
1230659,76,804
1231470,75,811
1232251,75,781
1233005,74,754
1233759,74,754
1234515,74,756
1235273,74,758
1236019,74,746
1236782,75,763
1237544,76,762
1238349,76,805
1239232,77,883
1240210,78,978
1241130,78,920
1242051,78,921
1242968,78,917
1243875,77,907
1244737,75,862
1245639,75,902
1246561,74,922
1247476,73,915
1248401,72,925
1249364,70,963
1250321,69,957
1251231,68,910
1252159,67,928
1253089,67,930
1254002,66,913
1254838,66,836
1255680,66,842
1256527,66,847
1257345,66,818
1258120,67,775
1258912,67,792
1259743,67,831
1260611,68,868
1261436,69,825
1262287,70,851
1263149,71,862
1264004,71,855
1264782,72,778
1265537,72,755
1266306,73,769
1267080,73,774
1267849,73,769
1268642,74,793
1269456,74,814
1270247,74,791
1271029,75,782
1271839,75,810
1272689,76,850
1273528,76,839
1274332,76,804
1275156,76,824
1276015,76,859
1276853,76,838
1277712,76,859
1278588,75,876
1279443,75,855
1280343,74,900
1281282,74,939
1282194,73,912
1283050,72,856
1283891,72,841
1284725,71,834
1285558,71,833
1286382,70,824
1287198,70,816
1287996,70,798
1288744,70,748
1289486,70,742
1290266,71,780
1291051,72,785
1291866,73,815
1292741,73,875
1293634,74,893
1294476,74,842
1295325,75,849
1296172,75,847
1297007,75,835
1297807,75,800
1298626,75,819
1299470,74,844
1300319,74,849
1301143,73,824
1301992,73,849
1302869,73,877
1303710,72,841
1304508,72,798
1305290,72,782
1306106,73,816
1306896,73,790
1307699,73,803
1308546,73,847
1309411,73,865
1310242,74,831
1311094,74,852
1311959,74,865
1312844,74,885
1313689,74,845
1314528,73,839
1315373,73,845
1316237,73,864
1317060,73,823
1317919,72,859
1318812,72,893
1319702,72,890
1320552,71,850
1321437,71,885
1322334,71,897
1323206,71,872
1324072,71,866
1324936,71,864
1325779,70,843
1326555,70,776
1327325,70,770
1328120,70,795
1328959,70,839
1329761,71,802
1330566,71,805
1331375,72,809
1332209,72,834
1333029,73,820
1333893,73,864
1334807,74,914
1335716,74,909
1336579,74,863
1337439,74,860
1338295,73,856
1339115,73,820
1339918,72,803
1340716,72,798
1341471,72,755
1342282,72,811
1343134,72,852
1343938,72,804
1344743,72,805
1345648,72,905
1346658,73,1010
1347584,73,926
1348560,73,976
1349514,73,954
1350442,73,928
1351311,72,869
1352183,71,872
1353049,71,866
1353870,70,821
1354672,69,802
1355478,68,806
1356305,68,827
1357171,68,866
1358087,68,916
1359012,69,925
1359897,69,885
1360785,70,888
1361682,70,897
1362567,71,885
1363396,71,829
1364235,71,839
1365103,70,868
1366007,70,904
1366890,70,883
1367799,70,909
1368718,69,919
1369626,69,908
1370480,69,854
1371365,69,885
1372263,69,898
1373115,69,852
1373945,69,830
1374750,69,805
1375500,69,750
1376256,69,756
1377068,69,812
1377825,70,757
1378621,70,796
1379460,71,839
1380358,72,898
1381204,73,846
1382070,74,866
1382951,74,881
1383818,74,867
1384633,74,815
1385464,74,831
1386302,74,838
1387119,73,817
1387969,73,850
1388853,72,884
1389757,72,904
1390596,72,839
1391470,71,874
1392346,71,876
1393194,71,848
1394047,71,853
1394908,71,861
1395755,71,847
1396580,71,825
1397407,71,827
1398241,71,834
1399047,71,806
1399892,71,845
1400773,71,881
1401657,71,884
1402487,72,830
1403338,72,851
1404194,72,856
1405003,72,809
1405808,72,805
1406608,72,800
1407413,72,805
1408202,72,789
1409028,72,826
1409883,73,855
1410769,73,886
1411623,73,854
1412510,73,887
1413376,73,866
1414186,73,810
1414973,73,787
1415762,73,789
1416558,73,796
1417350,73,792
1418115,73,765
1418896,73,781
1419715,73,819
1420567,73,852
1421437,74,870
1422337,74,900
1423223,74,886
1424061,74,838
1424922,74,861
1425780,74,858
1426589,74,809
1427383,74,794
1428180,73,797
1428990,72,810
1429755,72,765
1430523,72,768
1431314,72,791
1432161,73,847
1433049,73,888
1433887,73,838
1434764,74,877
1435676,74,912
1436555,74,879
1437385,74,830
1438209,74,824
1439028,74,819
1439837,73,809
1440625,73,788
1441423,72,798
1442242,72,819
1443054,72,812
1443876,72,822
1444731,72,855
1445613,72,882
1446449,73,836
1447290,73,841
1448149,73,859
1448994,73,845
1449806,73,812
1450639,73,833
1451473,73,834
1452300,73,827
1453097,73,797
1453893,72,796
1454711,72,818
1455546,72,835
1456351,73,805
1457185,73,834
1458034,73,849
1458872,73,838
1459697,74,825
1460531,74,834
1461361,74,830
1462138,74,777
1462935,74,797
1463757,74,822
1464601,74,844
1465402,74,801
1466226,74,824
1467061,74,835
1467866,74,805
1468656,74,790
1469438,74,782
1470212,74,774
1470963,75,751
1471728,75,765
1472524,75,796
1473346,75,822
1474149,76,803
1475014,76,865
1475939,76,925
1476839,76,900
1477730,76,891
1478624,76,894
1479485,75,861
1480307,74,822
1481131,74,824
1481949,73,818
1482731,72,782
1483454,71,723
1484135,71,681
1484864,71,729
1485530,72,666
1486277,72,747
1487143,73,866
1488002,74,859
1488830,75,828
1489725,75,895
1490655,75,930
1491576,75,921
1492461,75,885
1493285,75,824
1494065,75,780
1494809,75,744
1495552,75,743
1496301,75,749
1497080,75,779
1497866,75,786
1498707,76,841
1499626,76,919
1500560,76,934
1501469,76,909
